ID,Date,Job Title,Job Location,Hired,Easy Apply
24368,4/11/19 9:30,PHARMACEUTICAL DATA ANALYST,"Dallas, TX",FALSE,FALSE
24369,6/25/19 13:30,PHARMACEUTICAL DATA ANALYST,"Austin, TX",FALSE,FALSE
24371,10/26/19 1:00,PHARMACEUTICAL DATA ANALYST,"Boulder, CO",TRUE,FALSE
24374,3/2/19 19:30,PHARMACEUTICAL DATA ANALYST,"New York, NY",FALSE,FALSE
24388,4/4/19 19:30,PHARMACEUTICAL DATA ANALYST,"Chicago, IL",FALSE,TRUE
24393,7/30/19 14:50,PHARMACEUTICAL DATA ANALYST,"Long Beach, CA",FALSE,FALSE
24395,6/1/19 21:30,PHARMACEUTICAL DATA ANALYST,"Cupertino, CA",FALSE,FALSE
24402,8/29/19 17:47,PHARMACEUTICAL DATA ANALYST,"Richardson, TX",FALSE,FALSE
24426,10/9/19 13:00,PHARMACEUTICAL DATA ANALYST,"Burbank, CA",TRUE,FALSE
24430,5/9/19 11:00,PHARMACEUTICAL DATA ANALYST,"Santa Clara, CA",FALSE,FALSE
24434,4/18/19 20:15,PHARMACEUTICAL DATA ANALYST,"San Francisco, CA",FALSE,FALSE
24444,10/16/19 9:44,PHARMACEUTICAL DATA ANALYST,"Dallas, TX",TRUE,FALSE
24458,4/22/19 11:49,PHARMACEUTICAL DATA ANALYST,"New York, NY",FALSE,FALSE
24470,2/13/19 7:00,PHARMACEUTICAL DATA ANALYST,"San Antonio, TX",TRUE,FALSE
24473,8/28/19 15:00,PHARMACEUTICAL DATA ANALYST,"San Antonio, TX",FALSE,FALSE
24490,9/1/19 16:08,PHARMACEUTICAL DATA ANALYST,"Santa Clara, CA",FALSE,FALSE
24491,9/15/19 9:00,PHARMACEUTICAL DATA ANALYST,"Los Angeles, CA",TRUE,FALSE
24498,8/10/19 19:30,PHARMACEUTICAL DATA ANALYST,"Charlotte, NC",TRUE,FALSE
24524,7/28/19 21:45,PHARMACEUTICAL DATA ANALYST,"Los Angeles, CA",FALSE,FALSE
24527,7/10/19 12:39,PHARMACEUTICAL DATA ANALYST,"Houston, TX",TRUE,FALSE
24529,6/5/19 3:00,PHARMACEUTICAL DATA ANALYST,"Charlotte, NC",TRUE,FALSE
24530,1/6/19 17:58,PHARMACEUTICAL DATA ANALYST,"Los Angeles, CA",FALSE,FALSE
24533,7/24/19 15:55,PHARMACEUTICAL DATA ANALYST,"New York, NY",FALSE,FALSE
24539,6/28/19 9:41,PHARMACEUTICAL DATA ANALYST,"San Francisco, CA",FALSE,FALSE
